mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zero_crossing_rate,rms_energy,label
-56.204036712646484,161.57003784179688,-57.47943878173828,20.541770935058594,12.498002052307129,11.150761604309082,9.774574279785156,7.931699275970459,2.2822656631469727,7.696910858154297,5.632814884185791,6.667281627655029,3.537104845046997,0.7106480002403259,0.5514361262321472,0.5380691885948181,0.5694913268089294,0.5845112800598145,0.7427663207054138,0.590251624584198,0.5124999284744263,0.5667241811752319,0.5033139586448669,0.4795508086681366,0.5225657820701599,0.0755615234375,0.2678820490837097,0
-81.46820831298828,182.5354461669922,-60.732242584228516,23.66623306274414,10.340096473693848,12.188365936279297,10.537190437316895,6.218565940856934,2.817331075668335,7.37725830078125,5.98783016204834,6.832986354827881,4.034082412719727,0.7105612754821777,0.544692873954773,0.5389649271965027,0.6024024486541748,0.5921288132667542,0.7357718348503113,0.584007978439331,0.5095388889312744,0.5532220005989075,0.497060090303421,0.4728746712207794,0.5187168717384338,0.062287507233796294,0.258413702249527,0
-93.94927978515625,187.01243591308594,-54.021121978759766,23.508201599121094,9.203408241271973,12.125929832458496,10.640311241149902,4.941591739654541,2.607408285140991,7.383555889129639,6.056400775909424,7.169574737548828,4.789241313934326,0.7237352728843689,0.559816837310791,0.5503325462341309,0.6355212926864624,0.6013075709342957,0.719774603843689,0.5739600658416748,0.5160174369812012,0.5582053065299988,0.5027155876159668,0.47635701298713684,0.5320906043052673,0.054088451244212965,0.25833746790885925,0
-87.49349212646484,174.12852478027344,-43.41799545288086,26.823747634887695,4.159853458404541,13.776544570922852,7.394136428833008,5.054174900054932,1.3084943294525146,7.3823466300964355,5.5169854164123535,7.764492511749268,5.118813991546631,0.7196258306503296,0.5488571524620056,0.5696236491203308,0.6380612850189209,0.5743093490600586,0.6641399264335632,0.5287242531776428,0.5065351128578186,0.5475367307662964,0.4806095361709595,0.4542895555496216,0.5207582712173462,0.04993127893518518,0.2569044828414917,0
-96.75658416748047,176.3749237060547,-40.91109085083008,32.74048614501953,2.1082541942596436,12.81104850769043,7.618974685668945,4.301259517669678,2.01542067527771,6.613831043243408,5.809651851654053,7.665782928466797,6.0338664054870605,0.732563853263855,0.5489349961280823,0.5833534002304077,0.6425530910491943,0.582173764705658,0.6537749171257019,0.5240699648857117,0.5163058638572693,0.5485537648200989,0.47612252831459045,0.4462147057056427,0.5230423212051392,0.04710557725694445,0.2496718019247055,0
-106.02193450927734,178.58151245117188,-37.77725601196289,33.450740814208984,4.767621994018555,9.520224571228027,9.515080451965332,4.059347152709961,2.384406566619873,6.908048152923584,5.4027934074401855,7.996846675872803,5.913785457611084,0.7433790564537048,0.5749133229255676,0.618153989315033,0.6522694230079651,0.6042583584785461,0.6677481532096863,0.5405920743942261,0.527437686920166,0.5582260489463806,0.5040398836135864,0.4680318534374237,0.5415705442428589,0.04311342592592592,0.2509012520313263,0
-99.30743408203125,168.81329345703125,-32.94071578979492,34.751800537109375,3.9663729667663574,9.188827514648438,7.369435787200928,5.447210788726807,1.8634122610092163,7.284663677215576,4.823408126831055,8.167139053344727,5.991943359375,0.7461757063865662,0.5956536531448364,0.623081624507904,0.6246705055236816,0.5919281244277954,0.6591412425041199,0.5329796671867371,0.5334866642951965,0.5669341683387756,0.5032668709754944,0.46546265482902527,0.5444658994674683,0.042570891203703706,0.25096118450164795,0
-95.48320770263672,164.88864135742188,-33.49272155761719,40.30086135864258,1.0147169828414917,10.408528327941895,5.16546630859375,5.927410125732422,2.564573287963867,6.603305339813232,5.091021537780762,8.058412551879883,6.536696910858154,0.7312644720077515,0.6178950667381287,0.6208893656730652,0.6009080410003662,0.5852497220039368,0.6483855247497559,0.5206514596939087,0.5365713834762573,0.5750324726104736,0.48501771688461304,0.44529423117637634,0.5332801342010498,0.043294270833333336,0.24757060408592224,0
-82.96350860595703,154.9169158935547,-29.011276245117188,37.561092376708984,3.2108774185180664,8.778657913208008,5.669015407562256,5.159152030944824,3.0644750595092773,5.957057476043701,4.737785339355469,7.601232528686523,6.288881301879883,0.7450065612792969,0.6662823557853699,0.585060715675354,0.5767107009887695,0.5760646462440491,0.6301054954528809,0.5186188220977783,0.5518267154693604,0.5956305861473083,0.48808231949806213,0.4476430118083954,0.5370724201202393,0.05656602647569445,0.25464510917663574,0
-56.811126708984375,136.47445678710938,-22.39219093322754,32.40810012817383,4.578125953674316,7.872518062591553,4.327017307281494,5.251312732696533,1.7453218698501587,6.147780895233154,3.658064842224121,7.5335693359375,5.097937107086182,0.7488745450973511,0.6942788362503052,0.5723369121551514,0.576161801815033,0.5890831351280212,0.6390332579612732,0.5293080806732178,0.5675921440124512,0.6161852478981018,0.5130724310874939,0.47294533252716064,0.5460996031761169,0.06829155815972222,0.26079967617988586,0
